factory1,factory2,factory3,factory4
103.32596163532108,101.57525602588699,100.60204207049777,89.54362705266527
98.31836836028268,111.0169798110753,109.54020116181006,91.78507929432253
110.65098021736128,102.14441451291874,103.39896925667054,82.83387173604504
101.12392073004057,93.7275392409504,109.68687696283735,78.01874709194352
106.8551568788539,103.72110476402639,97.18809904465002,98.33107828413621
102.49315680095671,100.89612717582703,95.64339159671175,89.50509855860993
107.37703933557417,91.24409887631599,93.85996598881933,92.3550869256301
101.42007803344559,87.83773719532323,88.37310684052696,83.5033817194594
97.80770336048765,93.6582534385305,101.66288373547019,99.61272234862251
106.63086563350167,95.63113770484681,108.4501219996388,96.02441381665416
93.43843617039352,99.95073597966449,101.63877513573892,92.27937420094514
102.77122544936051,105.08678425442653,104.53315041350754,86.60696781410375
91.83409280463876,97.69905102591699,97.90588953183114,82.71733141318566
88.86383707408612,96.84093093834923,96.7228554459139,81.81419044437027
97.36086754501997,98.36064422314534,101.4061719697018,81.50320229977285
98.83631859655549,96.36555036790988,98.21303066691749,88.46653181746909
108.37858908182854,98.00279616719357,94.95714320331159,82.6474442763897
100.603979474314,98.55077472689229,104.95906213633283,91.28300558699652
99.31336713971147,94.8233476046642,108.90214738654547,90.40334133340527
104.21335137955569,94.91817548531631,104.19805384850919,95.13981067799126
